taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteORAL	SampleSiteTANK WATER	global	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	ASVno	Taxon
77dcdcd9b6781aea273bf2acdf3d2119	3.402167344438312	0.36497132444173913	1	FALSE	0.13408260775058828	0.31329149043557686	0.10284289450450554	0.13682394191091904	0.3132914904355769	0.10284289450450551	0.14823923739885622	ASV5101	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1); s__uncultured_bacterium
74079170c0d58889c08d2abafb046533	0.3164668482300204	0.2926990078025143	1	FALSE	0.24561678998697428	0.4477811315215555	0.0691021427838172	0.29377473987508274	0.4477811315215555	0.0691021427838172	0.13681689739371608	ASV5105	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1); s__uncultured_bacterium
7f8dbd55d671a81e70fab653f17eb21e	0.01548216108563232	0.015422391085230658	1	FALSE	0.04372608609695111	0.08013985241871886	0.08914148262396449	0.07134900478956142	0.08013985241871886	0.08914148262396447	0.20712831110565155	ASV5107	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Absconditabacteriales_(SR1); f__Absconditabacteriales_(SR1); g__Absconditabacteriales_(SR1); s__uncultured_bacterium
ae4550e59606ae352300b34dbc79b59d	7.009978165098699	0.06009420276025795	1	FALSE	0.15025774844421963	0.07691650430225436	0	0	0.07691650430225433	0	0	ASV5228	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22; s__uncultured_bacterium
9ab0e35a677bf6eabfb0ccf857062a75	5.235709084265766	0.14591845195506892	1	FALSE	0.0910389501240977	0.3667851111251926	0.13171715509707538	0.551656764948828	0.36678511112519263	0.13171715509707543	0	ASV5229	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22; s__uncultured_bacterium
405c3bb9dc375e50941b8c07c3010fee	0.7215367319159236	0.6057190775421649	1	FALSE	0.12580386441457495	0.2083942443771233	0.021193981563253885	0.1600745618264748	0.2083942443771233	0.021193981563253916	0.3241237751829512	ASV5208	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22
930e944719125d9ab19dda2c75239a2c	2.056848500149972	0.7151399154307124	1	FALSE	0.08295103240009608	0.14040876730659543	0.036862448705351894	0.11077337841328358	0.1404087673065954	0.036862448705351894	0.025388030940635836	ASV5199	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22
c2e9ef2b5847ea8b20c32f7a00419f7e	3.986618113216946	0.2724876802347572	1	FALSE	0.10935102550304981	0	0.034800600643836686	0.18022396956699638	0	0.0348006006438367	0.06515259210314249	ASV5323	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria; s__uncultured_bacterium
791dc98d5323aa74abb1c5b24a7421b9	3.549219831684575	0.33909915040914157	1	FALSE	0.013609261185817957	0	0.1905423308441226	0.028460286211844068	0	0.1905423308441226	0.15816905065216882	ASV5321	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria; s__uncultured_bacterium
644f8813377f8659dab6d51e99d7d3ed	2.121831603992897	0.6922773412960365	1	FALSE	0.11331429668861111	0.39153690139028197	0.044162414825992785	0.44510636532554043	0.39153690139028197	0.0441624148259928	0.4931543721296715	ASV5311	d__Bacteria; p__Patescibacteria; c__Parcubacteria; o__Candidatus_Campbellbacteria; f__Candidatus_Campbellbacteria; g__Candidatus_Campbellbacteria; s__marine_metagenome
