# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0	16.0	63.0	5.0	70.0	6.0	6.0	9.0	1461.0	10.0	41.0	30.0	177.0	13.0	122.0	142.0	0.0	245.0	8.0	23.0	7.0	0.0	0.0	18.0	13.0	8.0	187.0	76.0	4.0	0.0	0.0	27.0	5.0	7.0	0.0	0.0	0.0	6.0	0.0	0.0	16.0	12.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	165.0	81.0	0.0	21.0	93.0	607.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae	0.0	16.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	41.0	0.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group	182.0	26.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	38.0	0.0	2365.0	19.0	0.0	23.0	3.0	0.0	0.0	6.0	55.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	502.0	0.0	959.0	0.0	0.0	0.0	10.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae	0.0	21.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	66.0	0.0	72.0	22.0	0.0	43.0	29.0	0.0	0.0	0.0	0.0	1098.0	0.0	0.0	90.0	3.0	8.0	251.0	0.0	0.0	191.0	38.0	14.0	0.0	4.0	0.0	8.0	38.0	6.0	8.0	460.0	0.0	41.0	557.0	8.0	5.0	280.0	15.0	8.0	321.0	213.0	3.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae	0.0	0.0	0.0	17.0	10.0	230.0	3871.0	0.0	497.0	62.0	372.0	37.0	0.0	231.0	3131.0	0.0	253.0	12.0	351.0	58.0	41.0	1233.0	195.0	0.0	187.0	0.0	10.0	905.0	0.0	0.0	91.0	0.0	53.0	57.0	0.0	266.0	778.0	120.0	20.0	1043.0	311.0	0.0	1107.0	249.0	29.0	617.0	409.0	1058.0	433.0	406.0	578.0	953.0	482.0	211.0	1213.0	2104.0	698.0	72.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae	4282.0	118.0	4499.0	1275.0	63.0	63.0	4032.0	158.0	3.0	117.0	957.0	25.0	35.0	457.0	2571.0	109.0	247.0	56.0	50.0	3488.0	188.0	21.0	1606.0	12.0	757.0	0.0	700.0	1045.0	0.0	199.0	4.0	0.0	866.0	413.0	12.0	3396.0	909.0	1034.0	152.0	1426.0	440.0	17.0	738.0	272.0	231.0	848.0	30.0	0.0	58.0	334.0	515.0	55.0	257.0	1326.0	3221.0	413.0	4136.0	58.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae	55.0	182.0	0.0	493.0	129.0	3.0	12.0	0.0	30.0	0.0	7.0	6.0	0.0	10.0	28.0	6.0	604.0	31.0	357.0	397.0	182.0	664.0	1294.0	0.0	16.0	79.0	0.0	829.0	225.0	7.0	283.0	68.0	20.0	80.0	2.0	0.0	1511.0	220.0	82.0	0.0	27.0	10.0	182.0	100.0	2337.0	102.0	487.0	184.0	172.0	383.0	1822.0	107.0	671.0	47.0	279.0	460.0	654.0	303.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190	0.0	133.0	0.0	7.0	268.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	11.0	0.0	0.0	6.0	213.0	0.0	222.0	57.0	45.0	0.0	1099.0	0.0	29.0	371.0	303.0	6927.0	0.0	8.0	1109.0	8.0	20.0	549.0	0.0	0.0	725.0	196.0	78.0	0.0	25.0	5.0	11.0	231.0	531.0	37.0	1955.0	62.0	195.0	512.0	4.0	0.0	1168.0	2.0	0.0	12.0	141.0	4.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12	15.0	457.0	0.0	14.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	7.0	110.0	0.0	772.0	0.0	0.0	12.0	0.0	208.0	48.0	0.0	7.0	27.0	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	27.0	17.0	76.0	11.0	0.0	64.0	2.0	0.0	159.0	67.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae	1149.0	421.0	0.0	29.0	83.0	9.0	220.0	43.0	1591.0	0.0	0.0	137.0	111.0	21.0	296.0	328.0	7631.0	0.0	4496.0	2640.0	75.0	1448.0	625.0	0.0	879.0	156284.0	635.0	69850.0	167.0	518.0	4608.0	234.0	3650.0	14814.0	201.0	0.0	9310.0	1043.0	4571.0	3656.0	41.0	1112.0	4656.0	350.0	35.0	1450.0	2498.0	1313.0	533.0	3986.0	122.0	81.0	3871.0	45.0	5825.0	1046.0	1824.0	765.0
