# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0	0.0	57.0	5.0	0.0	0.0	0.0	9.0	1289.0	10.0	8.0	0.0	67.0	0.0	0.0	121.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	61.0	0.0	17.0	7.0	593.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Nitrosococcaceae;g__Cm1-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	182.0	26.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	38.0	0.0	2365.0	19.0	0.0	23.0	3.0	0.0	0.0	6.0	55.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	502.0	0.0	959.0	0.0	0.0	0.0	10.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured	0.0	21.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	40.0	7.0	0.0	16.0	16.0	0.0	0.0	0.0	0.0	978.0	0.0	0.0	90.0	3.0	8.0	251.0	0.0	0.0	49.0	38.0	14.0	0.0	4.0	0.0	8.0	30.0	6.0	8.0	418.0	0.0	12.0	443.0	8.0	0.0	58.0	15.0	8.0	277.0	161.0	3.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Pannonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	45.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	215.0	43.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae;g__Fusibacter	4282.0	118.0	4499.0	1275.0	63.0	63.0	4032.0	158.0	3.0	117.0	957.0	25.0	35.0	457.0	2571.0	109.0	247.0	56.0	50.0	3488.0	188.0	21.0	1606.0	12.0	757.0	0.0	700.0	1045.0	0.0	199.0	4.0	0.0	866.0	413.0	12.0	3396.0	909.0	1034.0	152.0	1426.0	440.0	17.0	738.0	272.0	231.0	848.0	30.0	0.0	58.0	334.0	515.0	55.0	257.0	1326.0	3221.0	413.0	4136.0	58.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	0.0	133.0	0.0	7.0	268.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	11.0	0.0	0.0	6.0	213.0	0.0	222.0	57.0	45.0	0.0	1099.0	0.0	29.0	371.0	303.0	6927.0	0.0	8.0	1109.0	8.0	20.0	549.0	0.0	0.0	725.0	196.0	78.0	0.0	25.0	5.0	11.0	231.0	531.0	37.0	1955.0	62.0	195.0	512.0	4.0	0.0	1168.0	2.0	0.0	12.0	141.0	4.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12	15.0	457.0	0.0	14.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	8.0	0.0	7.0	110.0	0.0	772.0	0.0	0.0	12.0	0.0	208.0	48.0	0.0	7.0	27.0	0.0	0.0	0.0	0.0	21.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	27.0	17.0	76.0	11.0	0.0	64.0	2.0	0.0	159.0	67.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	770.0	127.0	0.0	24.0	52.0	9.0	174.0	35.0	1568.0	0.0	0.0	47.0	40.0	21.0	156.0	146.0	4720.0	0.0	3561.0	1426.0	39.0	870.0	373.0	0.0	145.0	5200.0	373.0	43350.0	120.0	392.0	2830.0	131.0	1402.0	9719.0	94.0	0.0	5691.0	592.0	666.0	417.0	0.0	788.0	4538.0	89.0	0.0	489.0	871.0	30.0	48.0	1137.0	44.0	26.0	1601.0	26.0	4211.0	133.0	630.0	41.0
