# Constructed from biom file
#OTU ID	16S0064C	16S0064W	16S0073C	16S0073O	16S0073W	16S0074C	16S0074O	16S0084C	16S0084W	16S0087C	16S0087O	16S0088C	16S0088O	16S0089C	16S0089O	16S0090C	16S0090O	16S0092C	16S0093C	16S0093O	16S0093W	16S0094C	16S0113O	16S0117C	16S0117O	16S0117W	16S0118C	16S0119O	16S0119W	16S0120C	16S0120O	16S0120W	16S0123C	16S0123O	16S0123W	16S0141C	16S0141O	16S0142C	16S0142O	16S0143C	16S0143O	16S0146C	16S0146O	TB159	TB167	TB175	TB215	TB217	TB219	TB115	TB117	TB119	TB139	TB145	TB149	TB151	TB155	TB157
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	69.0	156.0	63.0	93.0	111.0	6.0	6.0	9.0	1858.0	10.0	41.0	30.0	184.0	56.0	122.0	151.0	1143.0	245.0	45.0	597.0	28.0	0.0	301.0	18.0	44.0	1243.0	391.0	4090.0	22.0	0.0	609.0	41.0	96.0	51.0	6.0	0.0	397.0	86.0	0.0	0.0	81.0	12.0	0.0	566.0	2258.0	480.0	3763.0	2920.0	2056.0	5180.0	6180.0	323.0	3657.0	83.0	211.0	2334.0	830.0	72.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales	0.0	16.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	546.0	17.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	51.0	0.0	0.0	71.0	164.0	418.0	0.0	170.0	0.0	17.0	100.0	1272.0	0.0	33.0	0.0	3.0	36.0	2.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group	182.0	26.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	38.0	0.0	2365.0	19.0	0.0	23.0	3.0	0.0	0.0	6.0	55.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	502.0	0.0	959.0	0.0	0.0	0.0	10.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales	0.0	21.0	0.0	0.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	66.0	0.0	72.0	22.0	8.0	43.0	499.0	0.0	0.0	8.0	27.0	4092.0	0.0	4.0	2830.0	3.0	8.0	510.0	0.0	0.0	416.0	44.0	14.0	0.0	4.0	5.0	8.0	38.0	328.0	12.0	514.0	0.0	41.0	681.0	8.0	5.0	301.0	15.0	8.0	330.0	241.0	3.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	279.0	207.0	330.0	111.0	70.0	256.0	3889.0	132.0	1425.0	79.0	992.0	72.0	524.0	925.0	4405.0	34.0	679.0	61.0	813.0	605.0	189.0	1905.0	1751.0	19.0	932.0	357.0	376.0	5203.0	3.0	0.0	1232.0	53.0	95.0	1368.0	0.0	266.0	1860.0	4275.0	403.0	1420.0	543.0	128.0	6581.0	672.0	973.0	1111.0	2076.0	2877.0	1451.0	2949.0	2195.0	1404.0	3815.0	812.0	3521.0	3497.0	3326.0	235.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	5628.0	189.0	7627.0	1395.0	86.0	78.0	4214.0	410.0	3.0	1855.0	2133.0	55.0	130.0	1033.0	3233.0	119.0	281.0	56.0	50.0	4256.0	188.0	446.0	2438.0	2668.0	2594.0	17.0	893.0	1121.0	0.0	384.0	4.0	6.0	1154.0	413.0	12.0	4151.0	1522.0	1673.0	161.0	5319.0	523.0	19.0	743.0	446.0	235.0	908.0	30.0	0.0	60.0	345.0	519.0	55.0	266.0	1919.0	3333.0	454.0	4136.0	58.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales	103.0	272.0	0.0	536.0	218.0	3.0	12.0	0.0	30.0	0.0	7.0	19.0	0.0	10.0	28.0	6.0	733.0	50.0	386.0	470.0	287.0	678.0	1427.0	0.0	26.0	182.0	0.0	2779.0	392.0	7.0	319.0	97.0	30.0	249.0	14.0	0.0	1590.0	298.0	113.0	0.0	36.0	15.0	182.0	116.0	3030.0	117.0	801.0	255.0	211.0	601.0	1834.0	107.0	911.0	47.0	312.0	495.0	1044.0	364.0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190	0.0	133.0	0.0	7.0	268.0	0.0	0.0	0.0	18.0	0.0	0.0	21.0	11.0	0.0	0.0	6.0	213.0	0.0	222.0	57.0	45.0	0.0	1099.0	0.0	29.0	371.0	303.0	6927.0	0.0	8.0	1109.0	8.0	20.0	549.0	0.0	0.0	725.0	196.0	78.0	0.0	25.0	5.0	11.0	231.0	531.0	37.0	1955.0	62.0	195.0	512.0	4.0	0.0	1168.0	2.0	0.0	12.0	141.0	4.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	63.0	794.0	0.0	21.0	1290.0	0.0	7.0	0.0	297.0	0.0	0.0	17.0	0.0	0.0	0.0	3.0	70.0	11.0	36.0	345.0	315.0	0.0	1027.0	0.0	25.0	15929.0	0.0	2227.0	1304.0	24.0	152.0	57.0	11.0	271.0	14.0	152.0	413.0	466.0	305.0	0.0	0.0	3.0	17.0	8.0	49.0	19.0	397.0	47.0	104.0	457.0	21.0	0.0	78.0	2.0	0.0	190.0	548.0	8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales	1439.0	535.0	187.0	151.0	141.0	9.0	230.0	4411.0	3098.0	0.0	0.0	318.0	152.0	21.0	614.0	475.0	12372.0	0.0	5588.0	2872.0	144.0	2275.0	1002.0	0.0	981.0	164090.0	644.0	76013.0	226.0	773.0	7490.0	263.0	4267.0	15619.0	218.0	3647.0	23522.0	1305.0	5330.0	8468.0	45.0	1536.0	6615.0	432.0	179.0	1487.0	4457.0	1389.0	587.0	4295.0	706.0	83.0	4044.0	57.0	5975.0	1097.0	2014.0	767.0
