taxon	lfc_(Intercept)	lfc_SampleSiteCLOACA	lfc_SampleSiteORAL	lfc_SampleSiteTANK WATER	se_(Intercept)	se_SampleSiteCLOACA	se_SampleSiteORAL	se_SampleSiteTANK WATER	W_(Intercept)	W_SampleSiteCLOACA	W_SampleSiteORAL	W_SampleSiteTANK WATER	p_(Intercept)	p_SampleSiteCLOACA	p_SampleSiteORAL	p_SampleSiteTANK WATER	q_(Intercept)	q_SampleSiteCLOACA	q_SampleSiteORAL	q_SampleSiteTANK WATER	diff_(Intercept)	diff_SampleSiteCLOACA	diff_SampleSiteORAL	diff_SampleSiteTANK WATER	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)	ASVno	Taxon
ddb6bc7ae9ebdca8c6ad102cc0e75b60	-1.8829480230101434	1.7092025408286438	3.5890932650441965	1.3069266020433512	0.7157363289481766	0.9614238530195056	1.0024397158235665	1.210110222583315	-2.6307844758659438	1.7777825414468544	3.5803582084689585	1.0800062487310909	0.008518804061744625	0.07543957694129334	3.431234995066692e-4	0.2801393975832472	1	1	0.15234683378096112	1	FALSE	FALSE	FALSE	FALSE	0	0	0	0.07142981527338957	0	0	0	0.07142981527338958	0	0.04588936131642921	0.19634133970868878	FALSE	FALSE	FALSE	FALSE	v4ASV3012	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__uncultured_bacterium
40e20fe04424be551c718b7418a0e339	-0.6193673959738314	0.4347321190758189	1.1287420726423774	0.09353669249669022	0.5791398608331124	0.7788420710902266	0.8125304171414949	0.9783720487394441	-1.0694608295185386	0.5581774986388176	1.3891690068826272	0.095604420237889	0.28486207006673553	0.576723184414182	0.1647813638196306	0.9238347544425103	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.09507063455539126	0.0653198500285288	0.029293115286151954	0.015454824282326812	0.04389634231053905	0.06531985002852882	0.029293115286151954	0.015454824282326812	0.11682433028032793	0.027511405243213872	0.05255153352276229	FALSE	FALSE	FALSE	FALSE	v4ASV8706	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
0a0ec84639fd68c6fd4282b25869be3b	0.24833736370852066	-0.3800556489425799	-0.18802424328973882	-1.628669234292432	0.7538890880872728	1.0124261819574876	1.0554916516766515	1.274832194605186	0.3294083541367988	-0.37539097241416336	-0.178139015113063	-1.2775557765050238	0.7418470541517835	0.7073697178089633	0.8586138023967618	0.20140610200321837	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.08874885985195362	0.06013133609240175	0.06999995866818003	0.0720531771547129	0.027344626121612845	0.06013133609240175	0.06999995866818003	0.07205317715471289	0.017207095747231196	0.002508003354572665	0.025927015209070547	FALSE	FALSE	FALSE	FALSE	v4ASV11744	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Marinobacterium; s__uncultured_Marinobacterium
1b603726c5dbced9f87a0f959a61b37a	-0.2959712763198319	0.5226234260981356	-0.07623202001669871	-0.049878843854654804	0.3632005021520661	0.49017733867591623	0.5122654246336031	0.6120522708412343	-0.814897761886666	1.0661925488229707	-0.1488135180531138	-0.08149441841968645	0.4151308343998928	0.28633660974151964	0.8817007835524993	0.9350487635719634	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.22504451675645282	0.36678675677295025	0.060447637264436985	0.026566035185135395	0.4311150599958525	0.36678675677295025	0.060447637264436985	0.0265660351851354	0.6152456914759701	0.3042142127357269	0.06531985598547337	FALSE	FALSE	FALSE	FALSE	v4ASV2752	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Maritimimonas; s__uncultured_marine
ce2d65462972d53fc59870f76fc4f22a	-0.06848732953639312	-0.11343157988556782	-0.2297475975776457	0.11852433629860444	0.4528278275250637	0.6100223941422521	0.6369431797081023	0.7640675632390823	-0.15124364134313809	-0.1859465832316912	-0.3607034424686582	0.15512284777035787	0.8797835254147022	0.8524866510432602	0.7183211510113314	0.8767244702900095	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.04439091416666421	0.06418507799822143	0.041718598786184856	0.024593805777489243	0.003965014526161765	0.06418507799822143	0.041718598786184856	0.024593805777489246	0.05972320546696322	0.024581719035535857	0.06701877789994108	FALSE	FALSE	FALSE	FALSE	v4ASV11182	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Spongiibacteraceae; g__BD1-7_clade; s__uncultured_bacterium
9cde11ddf38ffaaa09a394510e7a3600	-0.22175141493084305	0.076958478340935	-0.17878820556049105	0.6755937830861124	0.4042704250311331	0.5451100858023076	0.5694215236122135	0.6816959124747869	-0.5485224770369137	0.14117969992733753	-0.3139821698806192	0.9910486049908651	0.5833331999305024	0.8877279825508487	0.7535345808548046	0.32166184717776336	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.09980656516182258	0.027759011997636904	0.12412013456993633	0.20525487684539478	0.2497972751983473	0.0277590119976369	0.12412013456993633	0.20525487684539476	0.1946778600850776	0.16405952923136718	0.4357554971711922	FALSE	FALSE	FALSE	FALSE	v4ASV4941	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium
20bb19ca46c90d999878f5bf0f74bfbf	-0.5380865299830927	0.03822222171714293	1.2071849433228343	0.2890756789297766	0.6799171102437924	0.9135431210767265	0.9526359078828445	1.1493449485671716	-0.791400189635109	0.04183953754924364	1.2672049555697562	0.25151342013566264	0.4287104993576666	0.9666266161878883	0.20508201430214204	0.8014171878353894	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.07868779137612926	0.01433948983323705	0.06235509152135442	0.019087256637201608	0.029043035546614648	0.01433948983323705	0.06235509152135446	0.019087256637201615	0.00895401442570904	0.046275399603443575	0.06634134154426019	FALSE	FALSE	FALSE	FALSE	v4ASV11118	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__Porticoccus; s__uncultured_bacterium
0281ea0d17f82f0003eafbf1ff0da4a7	-0.4013124472744133	0.46730160613341903	-0.2697761954289306	1.2323223188067263	0.3604914311773867	0.4865519869430048	0.5084923999899321	0.6074600582245692	-1.1132371328874662	0.9604350997916267	-0.5305412537813191	2.0286474840970605	0.2656065986630553	0.33683627986714454	0.5957367141987396	0.04249420841964526	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.1718505129116479	0.18206170542639674	0.10376206786342633	0	0.34675146299194254	0.18206170542639674	0.10376206786342632	0	0.4225638018275649	0.11756017062032445	0	FALSE	FALSE	FALSE	FALSE	v4ASV949	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Roseimarinus; s__uncultured_Prolixibacter
5630dc18118604eb2ba50557cc36e027	0.45251046721269333	-0.6090442781836939	-1.1170357181075994	-0.7070532906143154	0.3625514617769091	0.48930880386908376	0.5113615258668096	0.6109520412189395	1.2481275485551324	-1.2447032903717092	-2.184434419883488	-1.1572975338680263	0.21198435112248903	0.21324083604500005	0.028930341303358066	0.2471508207556629	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0.17652505855129466	0.23091363151461802	0	0.05095406355157176	0	0.230913631514618	0	0.050954063551571796	0.41552440091429327	0.053614617162195295	0.13540391142595548	FALSE	FALSE	FALSE	FALSE	v4ASV7735	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Maricaulis
a81af95e926034ae2a454da1a81364a4	1.321217069159227	-2.114643206866186	-1.8323918227814222	-1.9986664897581174	0.5626735168320626	0.756834214452678	0.7896402780951588	0.9504349244031618	2.348106014652831	-2.7940639660370516	-2.320539964351467	-2.1028967249001362	0.018869149792546544	0.005205018181528514	0.020311685608107508	0.03547479819659799	1	1	1	1	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0.1456031429984523	0.030888767173021577	0.06041503419823013	FALSE	FALSE	FALSE	FALSE	v4ASV8923	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
