taxon	W	p_val	q_val	diff_abn	(Intercept)	SampleSiteCLOACA	SampleSiteORAL	SampleSiteTANK WATER	global	CARAPACE - CLOACA	CARAPACE - ORAL	CARAPACE - TANK WATER	CLOACA - ORAL	CLOACA - TANK WATER	ORAL - TANK WATER	structural_zero (SampleSite = CARAPACE)	structural_zero (SampleSite = CLOACA)	structural_zero (SampleSite = ORAL)	structural_zero (SampleSite = TANK WATER)	ASVno	Taxon
ddb6bc7ae9ebdca8c6ad102cc0e75b60	12.930731459884132	0.009577644988657326	1	FALSE	0	0	0	0.07142981527338957	0	0	0	0.07142981527338958	0	0.04588936131642921	0.19634133970868878	FALSE	FALSE	FALSE	FALSE	v4ASV3012	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__uncultured_bacterium
40e20fe04424be551c718b7418a0e339	2.070162362937386	0.8840546696424851	1	FALSE	0.09507063455539126	0.0653198500285288	0.029293115286151954	0.015454824282326812	0.04389634231053905	0.06531985002852882	0.029293115286151954	0.015454824282326812	0.11682433028032793	0.027511405243213872	0.05255153352276229	FALSE	FALSE	FALSE	FALSE	v4ASV8706	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
0a0ec84639fd68c6fd4282b25869be3b	1.7201555999434113	0.7350758386425467	1	FALSE	0.08874885985195362	0.06013133609240175	0.06999995866818003	0.0720531771547129	0.027344626121612845	0.06013133609240175	0.06999995866818003	0.07205317715471289	0.017207095747231196	0.002508003354572665	0.025927015209070547	FALSE	FALSE	FALSE	FALSE	v4ASV11744	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Nitrincolaceae; g__Marinobacterium; s__uncultured_Marinobacterium
1b603726c5dbced9f87a0f959a61b37a	1.3425079169824332	0.5618705104452769	1	FALSE	0.22504451675645282	0.36678675677295025	0.060447637264436985	0.026566035185135395	0.4311150599958525	0.36678675677295025	0.060447637264436985	0.0265660351851354	0.6152456914759701	0.3042142127357269	0.06531985598547337	FALSE	FALSE	FALSE	FALSE	v4ASV2752	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Maritimimonas; s__uncultured_marine
ce2d65462972d53fc59870f76fc4f22a	0.21235064275782475	0.04885744313938125	1	FALSE	0.04439091416666421	0.06418507799822143	0.041718598786184856	0.024593805777489243	0.003965014526161765	0.06418507799822143	0.041718598786184856	0.024593805777489246	0.05972320546696322	0.024581719035535857	0.06701877789994108	FALSE	FALSE	FALSE	FALSE	v4ASV11182	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Spongiibacteraceae; g__BD1-7_clade; s__uncultured_bacterium
9cde11ddf38ffaaa09a394510e7a3600	1.2801004146872765	0.5322724673902063	1	FALSE	0.09980656516182258	0.027759011997636904	0.12412013456993633	0.20525487684539478	0.2497972751983473	0.0277590119976369	0.12412013456993633	0.20525487684539476	0.1946778600850776	0.16405952923136718	0.4357554971711922	FALSE	FALSE	FALSE	FALSE	v4ASV4941	d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__PB19; f__PB19; g__PB19; s__uncultured_bacterium
20bb19ca46c90d999878f5bf0f74bfbf	1.9225984649792704	0.8227479042914964	1	FALSE	0.07868779137612926	0.01433948983323705	0.06235509152135442	0.019087256637201608	0.029043035546614648	0.01433948983323705	0.06235509152135446	0.019087256637201615	0.00895401442570904	0.046275399603443575	0.06634134154426019	FALSE	FALSE	FALSE	FALSE	v4ASV11118	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__Porticoccus; s__uncultured_bacterium
0281ea0d17f82f0003eafbf1ff0da4a7	5.5353328517729	0.27308105729311044	1	FALSE	0.1718505129116479	0.18206170542639674	0.10376206786342633	0	0.34675146299194254	0.18206170542639674	0.10376206786342632	0	0.4225638018275649	0.11756017062032445	0	FALSE	FALSE	FALSE	FALSE	v4ASV949	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prolixibacteraceae; g__Roseimarinus; s__uncultured_Prolixibacter
5630dc18118604eb2ba50557cc36e027	5.85115636460021	0.2381613337625711	1	FALSE	0.17652505855129466	0.23091363151461802	0	0.05095406355157176	0	0.230913631514618	0	0.050954063551571796	0.41552440091429327	0.053614617162195295	0.13540391142595548	FALSE	FALSE	FALSE	FALSE	v4ASV7735	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__Maricaulis
a81af95e926034ae2a454da1a81364a4	10.602825824958618	0.028158700601451474	1	FALSE	0	0	0	0	0	0	0	0	0.1456031429984523	0.030888767173021577	0.06041503419823013	FALSE	FALSE	FALSE	FALSE	v4ASV8923	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
