# Constructed from biom file
#OTU ID	16S0064C	16S0073C	16S0074C	16S0084C	16S0087C	16S0088C	16S0089C	16S0090C	16S0092C	16S0093C	16S0094C	16S0113C	16S0117C	16S0118C	16S0119C	16S0120C	16S0123C	16S0141C	16S0142C	16S0143C	16S0146C
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae	0.0	0.0	0.0	0.0	0.0	12.0	0.0	28.0	0.0	182.0	23.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	6.0	685.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae	0.0	0.0	0.0	11.0	48.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	5.0	36.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured	225.0	180.0	0.0	3967.0	0.0	170.0	0.0	142.0	0.0	1284.0	761.0	0.0	0.0	6.0	0.0	229.0	587.0	3379.0	230.0	4156.0	399.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae	8166.0	3096.0	3921.0	944.0	11010.0	9077.0	13844.0	2929.0	1881.0	27406.0	16789.0	0.0	13.0	7703.0	177.0	4097.0	14054.0	3293.0	44994.0	7798.0	20989.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	117.0	298.0	5.0	0.0	146.0	0.0	0.0	125.0	10.0	0.0	410.0	0.0	9392.0	0.0	88.0	86.0	3.0	188.0	89.0	94.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	4537.0	398.0	2070.0	1931.0	1286.0	1432.0	10073.0	4819.0	1103.0	15007.0	3343.0	10.0	0.0	1120.0	839.0	2452.0	6750.0	579.0	16115.0	2561.0	5063.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__KI89A_clade;f__KI89A_clade	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	16495.0	8743.0	31759.0	2335.0	1879.0	370.0	2367.0	269.0	2781.0	261.0	1925.0	37.0	69.0	1174.0	47.0	2975.0	2226.0	10114.0	6214.0	14784.0	533.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae	855.0	392.0	24143.0	416.0	20730.0	14.0	182.0	1223.0	3687.0	999.0	2321.0	4.0	42.0	1111.0	3.0	6909.0	1729.0	935.0	8292.0	1218.0	2315.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae	395.0	0.0	0.0	0.0	4.0	215.0	54.0	14.0	0.0	2919.0	138.0	0.0	0.0	162.0	0.0	30.0	331.0	2.0	5666.0	286.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae	1503.0	2.0	1439.0	0.0	0.0	12.0	0.0	76.0	198.0	677.0	4995.0	0.0	0.0	0.0	0.0	97.0	4693.0	4.0	5981.0	6705.0	0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	32.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.0	608.0	189.0	193.0	1806.0	478.0	1321.0	48.0	92.0	25.0	1001.0	8.0	0.0	43.0	103.0	3.0	25.0	0.0	113.0	857.0	0.0
